p e cs2 p_norm muB X n gamma
1.0300000e+02 5.6280000e+02 2.8460000e-01 3.8340000e-01 1.2170000e+03 2.9000000e+00 4.1968000e-03 1.8396765e+00
1.0460000e+02 5.6840000e+02 2.8470000e-01 3.8560000e-01 1.2200000e+03 2.9000000e+00 4.2320000e-03 1.8317696e+00
1.0620000e+02 5.7410000e+02 2.8480000e-01 3.8790000e-01 1.2230000e+03 2.9000000e+00 4.2672000e-03 1.8243827e+00
1.0780000e+02 5.7980000e+02 2.8490000e-01 3.9010000e-01 1.2260000e+03 2.9000000e+00 4.3024000e-03 1.8172286e+00
1.0950000e+02 5.8560000e+02 2.8500000e-01 3.9230000e-01 1.2290000e+03 2.9000000e+00 4.3392000e-03 1.8091644e+00
1.1110000e+02 5.9150000e+02 2.8510000e-01 3.9450000e-01 1.2320000e+03 2.9000000e+00 4.3760000e-03 1.8029816e+00
1.1280000e+02 5.9740000e+02 2.8520000e-01 3.9670000e-01 1.2350000e+03 2.9000000e+00 4.4128000e-03 1.7956475e+00
1.1450000e+02 6.0340000e+02 2.8530000e-01 3.9880000e-01 1.2380000e+03 2.9000000e+00 4.4496000e-03 1.7887936e+00
1.1630000e+02 6.0940000e+02 2.8540000e-01 4.0100000e-01 1.2410000e+03 2.9000000e+00 4.4864000e-03 1.7808666e+00
1.1800000e+02 6.1550000e+02 2.8550000e-01 4.0310000e-01 1.2440000e+03 2.9000000e+00 4.5248000e-03 1.7746970e+00
1.1980000e+02 6.2170000e+02 2.8560000e-01 4.0530000e-01 1.2470000e+03 2.9000000e+00 4.5632000e-03 1.7677162e+00
1.2150000e+02 6.2790000e+02 2.8570000e-01 4.0740000e-01 1.2500000e+03 2.9000000e+00 4.6016000e-03 1.7621694e+00
1.2340000e+02 6.3420000e+02 2.8580000e-01 4.0950000e-01 1.2530000e+03 2.9000000e+00 4.6400000e-03 1.7546360e+00
1.2520000e+02 6.4060000e+02 2.8590000e-01 4.1160000e-01 1.2560000e+03 2.9000000e+00 4.6784000e-03 1.7487398e+00
