p e n/n0 cs2 p_norm muB X
7.345e+02 2.690e+03 9.302e-02 3.032e-01 6.184e-01 1.766e+00 2.920e+00
7.428e+02 2.717e+03 9.376e-02 3.033e-01 6.193e-01 1.770e+00 2.920e+00
7.512e+02 2.745e+03 9.451e-02 3.034e-01 6.203e-01 1.774e+00 2.920e+00
7.596e+02 2.773e+03 9.526e-02 3.035e-01 6.213e-01 1.778e+00 2.920e+00
7.681e+02 2.801e+03 9.602e-02 3.036e-01 6.223e-01 1.783e+00 2.920e+00
7.768e+02 2.829e+03 9.678e-02 3.037e-01 6.232e-01 1.787e+00 2.920e+00
7.855e+02 2.858e+03 9.755e-02 3.038e-01 6.242e-01 1.791e+00 2.920e+00
7.943e+02 2.887e+03 9.832e-02 3.039e-01 6.251e-01 1.795e+00 2.920e+00
8.032e+02 2.916e+03 9.910e-02 3.040e-01 6.261e-01 1.800e+00 2.920e+00
8.121e+02 2.946e+03 9.989e-02 3.041e-01 6.270e-01 1.804e+00 2.920e+00
8.212e+02 2.975e+03 1.007e-01 3.042e-01 6.280e-01 1.808e+00 2.920e+00
8.304e+02 3.006e+03 1.015e-01 3.043e-01 6.289e-01 1.813e+00 2.920e+00
8.397e+02 3.036e+03 1.023e-01 3.044e-01 6.298e-01 1.817e+00 2.920e+00
8.490e+02 3.067e+03 1.031e-01 3.045e-01 6.308e-01 1.822e+00 2.920e+00
8.585e+02 3.098e+03 1.039e-01 3.046e-01 6.317e-01 1.826e+00 2.920e+00
8.680e+02 3.129e+03 1.047e-01 3.047e-01 6.326e-01 1.830e+00 2.920e+00
