p e n/n0 cs2 p_norm muB X
1.007e+03 3.567e+03 1.162e-01 3.064e-01 6.490e-01 1.888e+00 3
1.019e+03 3.604e+03 1.172e-01 3.065e-01 6.499e-01 1.892e+00 3
1.030e+03 3.641e+03 1.181e-01 3.066e-01 6.508e-01 1.897e+00 3
1.042e+03 3.679e+03 1.191e-01 3.067e-01 6.516e-01 1.902e+00 3
1.053e+03 3.717e+03 1.200e-01 3.068e-01 6.525e-01 1.906e+00 3
1.065e+03 3.755e+03 1.210e-01 3.069e-01 6.533e-01 1.911e+00 3
1.077e+03 3.794e+03 1.220e-01 3.070e-01 6.542e-01 1.916e+00 3
1.089e+03 3.833e+03 1.229e-01 3.071e-01 6.550e-01 1.920e+00 3
1.101e+03 3.873e+03 1.239e-01 3.072e-01 6.558e-01 1.925e+00 3
1.113e+03 3.913e+03 1.249e-01 3.073e-01 6.567e-01 1.930e+00 3
1.126e+03 3.953e+03 1.259e-01 3.074e-01 6.575e-01 1.935e+00 3
1.138e+03 3.994e+03 1.269e-01 3.075e-01 6.583e-01 1.939e+00 3
1.151e+03 4.035e+03 1.279e-01 3.075e-01 6.591e-01 1.944e+00 3
1.164e+03 4.077e+03 1.290e-01 3.076e-01 6.599e-01 1.949e+00 3
1.177e+03 4.119e+03 1.300e-01 3.077e-01 6.608e-01 1.954e+00 3
1.190e+03 4.161e+03 1.310e-01 3.078e-01 6.616e-01 1.958e+00 3
1.203e+03 4.204e+03 1.321e-01 3.079e-01 6.624e-01 1.963e+00 3
1.216e+03 4.248e+03 1.331e-01 3.080e-01 6.632e-01 1.968e+00 3
1.230e+03 4.292e+03 1.342e-01 3.081e-01 6.640e-01 1.973e+00 3
1.244e+03 4.336e+03 1.353e-01 3.082e-01 6.648e-01 1.978e+00 3
