p e n/n0 cs2 p_norm muB X
3.907e+02 7.050e+03 1.677e-01 5.063e-01 1.559e-01 2.128e+00 1
3.921e+02 7.053e+03 1.678e-01 5.055e-01 1.563e-01 2.128e+00 1
3.936e+02 7.056e+03 1.678e-01 5.048e-01 1.568e-01 2.129e+00 1
3.950e+02 7.059e+03 1.679e-01 5.041e-01 1.572e-01 2.129e+00 1
3.964e+02 7.062e+03 1.680e-01 5.033e-01 1.577e-01 2.129e+00 1
3.979e+02 7.064e+03 1.680e-01 5.026e-01 1.581e-01 2.130e+00 1
3.993e+02 7.067e+03 1.681e-01 5.019e-01 1.586e-01 2.130e+00 1
4.007e+02 7.070e+03 1.682e-01 5.012e-01 1.590e-01 2.131e+00 1
4.022e+02 7.073e+03 1.682e-01 5.004e-01 1.595e-01 2.131e+00 1
4.036e+02 7.076e+03 1.683e-01 4.997e-01 1.599e-01 2.131e+00 1
4.051e+02 7.079e+03 1.683e-01 4.990e-01 1.604e-01 2.132e+00 1
4.065e+02 7.082e+03 1.684e-01 4.983e-01 1.608e-01 2.132e+00 1
4.079e+02 7.084e+03 1.685e-01 4.976e-01 1.613e-01 2.133e+00 1
4.094e+02 7.087e+03 1.685e-01 4.969e-01 1.617e-01 2.133e+00 1
4.108e+02 7.090e+03 1.686e-01 4.962e-01 1.622e-01 2.134e+00 1
4.123e+02 7.093e+03 1.687e-01 4.955e-01 1.626e-01 2.134e+00 1
4.137e+02 7.096e+03 1.687e-01 4.948e-01 1.631e-01 2.134e+00 1
4.151e+02 7.099e+03 1.688e-01 4.942e-01 1.635e-01 2.135e+00 1
4.166e+02 7.102e+03 1.689e-01 4.935e-01 1.639e-01 2.135e+00 1
4.180e+02 7.105e+03 1.689e-01 4.928e-01 1.644e-01 2.136e+00 1
4.195e+02 7.108e+03 1.690e-01 4.921e-01 1.648e-01 2.136e+00 1
4.209e+02 7.111e+03 1.691e-01 4.915e-01 1.653e-01 2.136e+00 1
