R M
8.946623647568250348e+00 1.010927864155896527e+00
1.183395771151253584e+01 5.523033605300692317e-01
8.961179397513522105e+00 9.446053858213852017e-01
9.685493287413418528e+00 6.784894202726123869e-01
9.317217517427369700e+00 7.373897401940646690e-01
7.695202576514147630e+00 1.102632801370236226e+00
9.601628625372780945e+00 7.177674149958184202e-01
9.573083446751290637e+00 6.301332383264375281e-01
6.920624607707164699e+00 1.203915309192644001e+00
1.004443756863077652e+01 5.958620949672426281e-01
8.732174026031685798e+00 1.039931671233496058e+00
8.037944592057577609e+00 1.297705361561051207e+00
8.854634185738861518e+00 5.010929514550690467e-01
1.113617436490340395e+01 1.114975706431180491e+00
8.672246352462440910e+00 7.171332617749953675e-01
1.103718484374757125e+01 8.311477592788442115e-01
8.552813863444351128e+00 1.067318160853383713e+00
8.090242369450528770e+00 1.119517139299828212e+00
8.845373537956232823e+00 3.564274267774526495e-01
7.154290452377228604e+00 1.223669182706220937e+00
1.053807702349375930e+01 1.083415856760878704e+00
9.060506839518698285e+00 6.339138232149423846e-01
8.724972397940810254e+00 7.674638021315309810e-01
1.043308651515411078e+01 6.937768882201302834e-01
1.177868760836905260e+01 5.371613099696640470e-01
9.648752988034249967e+00 7.376642719557651162e-01
1.245755939578416793e+01 6.471739111795069554e-01
8.763960003821924971e+00 5.035244853062150749e-01
1.267976050360385187e+01 1.548651477594291226e+00
9.547118394051480550e+00 7.650955197298930921e-01
7.563694645587647258e+00 1.110168582382890179e+00
9.253386052941802831e+00 1.156130614912988630e+00
8.800527130002729237e+00 5.839506572853678801e-01
9.795441440824211199e+00 8.467500121507205435e-01
9.727211020044205014e+00 1.342825050397089992e+00
8.774506816729211067e+00 5.566531846685761620e-01
7.286117016515545330e+00 1.069362298814613421e+00
8.483604254681509360e+00 9.327331087089760775e-01
7.304111357355481005e+00 9.556134891329968184e-01
1.070359098974331147e+01 6.658679987169708880e-01
8.540831503219116883e+00 1.037661613940988881e+00
7.602222895183667006e+00 9.040880291207071817e-01
9.255478751481899025e+00 9.982492515631845587e-01
7.720759162538507248e+00 1.023756769086515694e+00
1.000470802857774011e+01 6.269399278748356563e-01
1.094661879262569393e+01 8.656247411665773939e-01
9.784708554043087148e+00 7.012361134581790445e-01
1.199977543295710802e+01 5.122501927411480249e-01
1.078757040998863204e+01 7.483522732076952622e-01
7.165055138573909410e+00 1.159755943322558380e+00
8.694123727402171653e+00 1.336665889346459135e+00
9.505214357821785143e+00 9.615148196841918349e-01
6.882999880728442044e+00 1.168486025533716610e+00
1.066802708113346121e+01 4.895751214112312177e-01
1.050152962938314971e+01 1.415356290180801224e+00
1.010860522366143854e+01 6.530436947626200306e-01
7.296752709876894727e+00 1.467400300737937924e+00
6.495600794354768226e+00 1.308837336907233251e+00
6.166192986365120809e+00 1.196658881439444988e+00
1.020758345855391802e+01 4.270645040206186849e-01
7.268244049067963175e+00 9.980297811705357569e-01
9.726630050027701202e+00 6.348667141482297049e-01
8.736057969557162295e+00 9.397427243132412400e-01
8.581204330713676498e+00 1.036493753663165096e+00
