e p n mu_b mu_e Gamma cs2 increasing
9.788440e-06 9.665530e-10 1.051770e-05 9.306850e+02 1.146370e+00 1.434610e+00 1.416460e-04 1.000000e+00
1.020620e-05 1.026230e-09 1.096660e-05 9.306910e+02 1.159270e+00 1.432730e+00 1.440450e-04 1.000000e+00
1.064240e-05 1.089590e-09 1.143520e-05 9.306960e+02 1.172410e+00 1.430860e+00 1.464790e-04 1.000000e+00
1.109780e-05 1.156870e-09 1.192450e-05 9.307020e+02 1.185780e+00 1.429010e+00 1.489490e-04 1.000000e+00
1.157330e-05 1.228290e-09 1.243540e-05 9.307080e+02 1.199400e+00 1.427180e+00 1.514520e-04 1.000000e+00
1.206990e-05 1.304130e-09 1.296880e-05 9.307140e+02 1.213260e+00 1.425370e+00 1.539930e-04 1.000000e+00
1.258830e-05 1.384650e-09 1.352590e-05 9.307200e+02 1.227360e+00 1.423590e+00 1.565690e-04 1.000000e+00
1.312980e-05 1.470140e-09 1.410760e-05 9.307260e+02 1.241720e+00 1.421820e+00 1.591830e-04 1.000000e+00
1.369530e-05 1.560900e-09 1.471520e-05 9.307320e+02 1.256340e+00 1.420080e+00 1.618330e-04 1.000000e+00
1.428590e-05 1.657270e-09 1.534960e-05 9.307390e+02 1.271210e+00 1.418360e+00 1.645220e-04 1.000000e+00
1.490270e-05 1.759600e-09 1.601230e-05 9.307450e+02 1.286350e+00 1.416660e+00 1.672490e-04 1.000000e+00
1.554690e-05 1.868240e-09 1.670440e-05 9.307520e+02 1.301760e+00 1.414980e+00 1.700150e-04 1.000000e+00
1.621980e-05 1.983580e-09 1.742730e-05 9.307590e+02 1.317440e+00 1.413330e+00 1.728200e-04 1.000000e+00
1.692260e-05 2.106050e-09 1.818230e-05 9.307660e+02 1.333390e+00 1.411690e+00 1.756660e-04 1.000000e+00
1.765670e-05 2.236090e-09 1.897100e-05 9.307730e+02 1.349620e+00 1.410090e+00 1.785530e-04 1.000000e+00
1.842360e-05 2.374140e-09 1.979490e-05 9.307800e+02 1.366140e+00 1.408500e+00 1.814810e-04 1.000000e+00
1.922470e-05 2.520730e-09 2.065550e-05 9.307870e+02 1.382940e+00 1.406930e+00 1.844510e-04 1.000000e+00
2.006160e-05 2.676360e-09 2.155460e-05 9.307940e+02 1.400040e+00 1.405390e+00 1.874630e-04 1.000000e+00
